
2019-05-16 19:55:57 : 

[*] Agent info:
  nonce           	7445767061672652
  jitter          	0.0
  servers         	None
  internal_ip     	192.168.226.1 fe80::9442:f8f3:5b23:22d1 192.168.153.1
                                fe80::78a5:53be:b208:43ea 192.168.1.5 fe80::a41d:e79e:d3d7:49a8
                                169.254.182.30 fe80::4d72:dc5a:5819:b61e
  working_hours   	
  session_key     	h:}c3FNTSI75$M=4<ul1RX+Yp?/\2^Z8
  children        	None
  checkin_time    	2019-05-16 19:55:56
  hostname        	LAMEDIM-LT
  id              	2
  delay           	5
  username        	LAMEDIM-LT\User
  kill_date       	
  parent          	None
  process_name    	powershell
  listener        	http
  process_id      	9996
  profile         	/admin/get.php,/news.php,/login/process.php|Mozilla/5.0 (Windows NT
                                6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
  os_details      	Microsoft Windows 10 Home
  lost_limit      	60
  taskings        	None
  name            	P8A21MH4
  language        	powershell
  external_ip     	192.168.153.1
  session_id      	P8A21MH4
  lastseen_time   	2019-05-16 19:55:56
  language_version	5
  high_integrity  	1


[+] Agent P8A21MH4 now active:


2019-05-16 19:56:59 : 
[*] Agent renamed from P8A21MH4 to UACbypass
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 52224     eapprovp.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 145920    eapsimextdesktop.dll                                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:23 AM 110080    eapsvc.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 23040     easconsent.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:43 AM 320000    EaseOfAccessDialog.exe                              
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 77160     easinvoker.exe                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 29184     easinvoker.proxystub.dll                            
-a---- NT SERVICE\TrustedInstaller 9/14/2018 9:02:00 PM  64000     EASPolicyManagerBrokerHost.exe                      
-a---- NT SERVICE\TrustedInstaller 9/14/2018 9:02:00 PM  14848     EasPolicyManagerBrokerPS.dll                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 177152    easwrt.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:18 AM 2150912   edgeangle.dll                                       
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:12 AM  3982848   EdgeContent.dll                                     
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:28 AM  26810368  edgehtml.dll                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:01 AM  72        edgehtmlpluginpolicy.bin                            
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:20 AM  449024    edgeIso.dll                                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:28 AM  912384    EdgeManager.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:32 AM 87040     EditBufferTestHook.dll                              
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 188928    EditionUpgradeHelper.dll                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 240352    EditionUpgradeManagerObj.dll                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 138240    edpauditapi.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 162816    EDPCleanup.exe                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 164864    edpcsp.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 61952     edpnotify.exe                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 71680     edptask.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 259584    edputil.dll                                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:30 AM  97280     EduPrintProv.exe                                    
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:07 AM  417792    eeprov.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:20 AM 57344     eeutil.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 128512    efsadu.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 1124664   efscore.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 69632     efsext.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 108544    efslsaext.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 79872     efssvc.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 14336     efsui.exe                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:52 AM 45056     efsutil.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:58 AM 788480    efswrt.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 132096    EhStorAPI.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 129024    EhStorAuthn.exe                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 112128    EhStorPwdMgr.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 207872    EhStorShell.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:18 AM 225792    els.dll                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:52 AM 77824     ELSCore.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:18 AM 239104    elshyph.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:53 AM 701952    elslad.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:52 AM 29696     elsTrans.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:34 AM 1129472   EmailApis.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 168960    embeddedmodesvc.dll                                 
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 47616     embeddedmodesvcapi.dll                              
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 57344     EmojiDS.dll                                         
-a---- NT AUTHORITY\SYSTEM         9/18/2018 10:08:04 PM 22744     emptyregdb.dat                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 26624     encapi.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 99688     EncDump.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 647168    energy.dll                                          
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:07 AM  175104    energyprov.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:20 AM 26112     energytask.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 228352    enrollmentapi.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 143360    EnterpriseAPNCsp.dll                                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 25600     EnterpriseAppMgmtClient.dll                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:14 AM  506880    EnterpriseAppMgmtSvc.dll                            
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:21 AM  1687552   enterprisecsps.dll                                  
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 91648     EnterpriseDesktopAppMgmtCSP.dll                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 19968     enterpriseetw.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:38 AM 190464    EnterpriseModernAppMgmtCSP.dll                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 84480     enterpriseresourcemanager.dll                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:19 AM 79872     eqossnap.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 209920    ErrorDetails.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 46592     ErrorDetailsCore.dll                                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 490496    es.dll                                              
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 20480     EsdSip.dll                                          
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:06 AM  3270144   esent.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 65024     esentprf.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 375296    esentutl.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:18 AM 37376     esevss.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 142848    eShims.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 33792     esrb.rs                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 184832    EthernetMediaManager.dll                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:34 AM 154112    ETWCoreUIComponentsResources.dll                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 78848     ETWESEProviderResources.dll                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 48128     EtwRundown.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 356352    eudcedit.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:25 AM 144896    eUICCsCSP.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:29 AM 78848     EventAggregation.dll                                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 17408     eventcls.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 42496     eventcreate.exe                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 17935     EventViewer_EventDetails.xsl                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 83968     eventvwr.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 145127    eventvwr.msc                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 12:11:01 PM 751696    evr.dll                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 314080    ExecModelClient.dll                                 
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 83456     execmodelproxy.dll                                  
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 66048     expand.exe                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:59 AM 4737536   ExplorerFrame.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 263168    ExSMime.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:44 AM 34304     extrac32.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:36 AM 24576     ExtrasXmlParser.dll                                 
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:53 AM 8704      f3ahvoas.dll                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:26 AM  599040    facecredentialprovider.dll                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:55 AM 99840     Family.Authentication.dll                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:55 AM 98816     Family.Cache.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 147456    Family.Client.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 260096    Family.SyncEngine.dll                               
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 14336     FamilySafetyExt.dll                                 
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:06 AM  449368    Faultrep.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:26 AM 31232     FaxPrinterInstaller.dll                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:13 AM 24576     fc.exe                                              
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:18 AM  71168     fdBth.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 14336     fdBthProxy.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 35328     FdDevQuery.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 158208    fde.dll                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:44 AM 158720    fdeploy.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 21504     fdPHost.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 59904     fdPnp.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 289280    fdprint.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 68096     fdProxy.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 35328     FDResPub.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:13 AM 108032    fdSSDP.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:24 AM 110080    fdWCN.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 30208     fdWNet.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 152064    fdWSD.dll                                           
